year,title,tldr,subfield,contrib_type,read_lvl,short_title
2006,A simple rule for the evolution of cooperation on graphs and social networks," ""Early paper demonstrating how you get cooperation in structured population. No PGG, but seminal to the study off PGGs on HONs.""
",PS,🗺️,0️⃣,ohtsuki_simple_2006
2005,Scale-Free Networks Provide a Unifying Framework for the Emergence of Cooperation," ""Early paper demonstrating the importance of scale-free network to create correlation among individuals, leading to cooperation. No PGG, but seminal to the study of PGGs on HONs.""
",PS,🗺️,0️⃣,santos_scale-free_2005
2000,Cooperation and Punishment in Public Goods Experiments," ""Experimental paper showing that individuals are willing to pay a cost to punish defectors in PGG.  People know when the game is about to finish, and group composition are changed randomly over the experiment. In this context, it has been shown that repeatedly with the same partners, the level of contribution declines towards zero""
",PS,📊,0️⃣,fehr_cooperation_2000
1992,Covenants with and without a Sword: Self-Governance Is Possible," ""Costly punishment in a repeated common-pool resource (CPR) game with the possibility to develop an individual reputation. The title refers to the idea that it is possible to have groups managing their own common pool resources without having a third party agent, like the government, who come in to intervene.""
",PS,📊,0️⃣,ostrom_covenants_1992
2005,Economic man in cross-cultural perspective: Behavioral experiments in 15 small-scale societies," """"
",PS,📊,0️⃣,henrich_economic_2005
2013,Evolutionary dynamics of group interactions on structured populations: a review," ""Key paper from HONs community, Moreno et al., that review model of evolutionary game theory with social networks and group interactions. They ask how ideas of cooperation on networks, such as scale-free networks increase cooperation, translate them into their framework for group interaction. They focus on group size and distribution of payoffs among groups.""
",PS,📚,1️⃣,perc_evolutionary_2013
2021,Evolutionary dynamics of higher-order interactions in social networks," """"
",PS,📚,0️⃣,rodriguez_evolutionary_2021
2012,Review: Game theory of public goods in one-shot social dilemmas without assortment," """"
",PS,📚,0️⃣,archetti_review_2012
2019,The evolution of human cooperation," """"",PS,📚,0️⃣,apicella_evolution_2019
