year,title,tldr,subfield,contrib_type,read_lvl,short_title
2021,The physics of higher-order interactions in complex systems," ""HONs is not the same as linear combinations of dyadic interactions. ""
",P,📚,0️⃣,battiston_physics_2021
2022,Source-sink behavioural dynamics limit institutional evolution in a group-structured society," """"",P,🗺️,0️⃣,hebert-dufresne_source-sink_2022
