year,title,tldr,subfield,contrib_type,read_lvl,short_title
1962,Animal Dispersion in Relation to Social Behaviour," """"
",B,💡,0️⃣,wynne-edwards_animal_1962
1963,Review of Animal Dispersion in Relation to Social Behaviour," """"
",B,💡,0️⃣,braestrup_review_1963
1983,The Group Selection Controversy: History and Current Status," """"
",B,💡,0️⃣,wilson_group_1983
1976,Group Selection," """"
",B,💡,0️⃣,smith_group_1976
2001,Why Won't the Group Selection Controversy Go Away?," """"
",B,💡,0️⃣,okasha_why_2001
1996,The Return of the Group," """"",φ,💡,0️⃣,sterelny_return_1996
