year,title,tldr,subfield,contrib_type,read_lvl,short_title
2017,Teams vs. Crowds," """"
",O,📊,0️⃣,riedl_teams_2017
1993,The discipline of teams," """"
",O,💡,0️⃣,katzenbach_discipline_1993
