year,title,tldr,subfield,contrib_type,read_lvl,short_title
1958,"Common fate, similarity, and other indices of the status of aggregates of persons as social entities (campbell_common_1958)"," """"
",S,💡,0️⃣,campbell_common_1958
2023,The duality of networks and groups: Models to generate two-mode networks from one-mode networks (neal_duality_2023)," """"
",S,📚,0️⃣,neal_duality_2023
1962,"Animal Dispersion in Relation to Social Behaviour, (edwards_animal_1962)"," """"
",B,💡,0️⃣,edwards_animal_1962
1963,Review of Animal Dispersion in Relation to Social Behaviour (braestrup_review_1963)," """"
",B,💡,0️⃣,braestrup_review_1963
1983,The Group Selection Controversy: History and Current Status (wilson_group_1983)," """"
",B,💡,0️⃣,wilson_group_1983
1976,Group Selection (smith_group_1976)," """"
",B,💡,0️⃣,smith_group_1976
2001,Why Won't the Group Selection Controversy Go Away? (okasha_why_2001)," """"
",B,💡,0️⃣,okasha_why_2001
1996,The Return of the Group (sterelny_return_1996)," """"",φ,💡,0️⃣,sterelny_return_1996
