oa_display_name,is_prof,perceived_as_male,host_dept (; delimited if more than one),has_research_group,OpenAlex id,group_url,Notes
Brian Tivnan,1.0,1.0,,1.0,a5050883332,https://www.compfi.org,Website is currently down
Dmitriy Sheyn,1.0,1.0,,1.0,a5081116926,https://www.cedars-sinai.edu/research/labs/sheyn/members.html,
Ryan Trovitch,1.0,1.0,,1.0,a5081116926,https://trovitch.lab.asu.edu/,
Matthew K. Higgins,1.0,1.0,,1.0,a5035509700,https://higginslab.web.ox.ac.uk/who-we-are,
David J. Barker,1.0,1.0,Psychology,1.0,a5053585063,https://www.thebarkerlab.com/people-1,
Alan E. Wilson,1.0,1.0,,1.0,a5063349034,https://www.wilsonlab.com/,
Caitlin J. Light,1.0,0.0,,1.0,a5086092493,https://sites.google.com/binghamton.edu/lightlab/people?authuser=0,
Jeffrey M. Mativetsky,1.0,1.0,,1.0,a5046342589,https://www.mativetskylab.com/people/jeffrey-mativetsky,
Gaby G. Dagher,1.0,1.0,,1.0,a5073603332,http://cs.boisestate.edu/~gdagher/,
Georg Jander,1.0,1.0,,1.0,a5086006151,https://btiscience.org/georg-jander/,
Nicholas Cheney,1.0,1.0,,1.0,a5091485524,https://www.uvm.edu/neurobotics/people,
Stefanie Haustein,1.0,0.0,,1.0,a5014077037,https://www.scholcommlab.ca/people/,
Juan Pablo Alperin,1.0,1.0,,1.0,a5085171399,https://www.scholcommlab.ca/people/,
James A. Evans,1.0,1.0,,1.0,a5076633756,https://www.knowledgelab.org/knowledge-lab-team/,
Muhammad Abdul-Mageed,1.0,1.0,,1.0,a5004629670,https://www.dlnlp.ai/#Team,
Robert Gramling,1.0,1.0,,1.0,a5005213390,https://vermontconversationlab.com/about/,
David Jangrow,1.0,1.0,,1.0,a5026763824,https://www.uvm.edu/~brainlab/index.html#team,
Emma Spiro,1.0,0.0,,1.0,a5053945884,https://datalab.ischool.uw.edu/people,
Jevin West,1.0,1.0,,1.0,a5046879461,https://datalab.ischool.uw.edu/people,
Chaoqun Ni,1.0,0.0,,1.0,a5022747234,https://metasci.ischool.wisc.edu/members.html,
Muzhou Wang,1.0,1.0,,1.0,a5027906115,https://www.wanglab.northwestern.edu/members/,
Isabella Peters,1.0,0.0,,1.0,a5051954808,https://www.ws.informatik.uni-kiel.de/en/team,
Fabián Bustamante,1.0,1.0,,1.0,a5025609514,https://aqualab.cs.northwestern.edu/lab-members/,
Beth Kirkpatrick,1.0,0.0,,1.0,a5010472783,https://www.med.uvm.edu/tgircobre/home,
Donna Toufexis,1.0,0.0,,1.0,a5063974887,https://www.uvm.edu/cas/psychology/profiles/donna-toufexis-biobehavioral,
Matthew Price,1.0,1.0,,1.0,a5036140974,https://www.crestresearch.org//,
Hugh Garavan,1.0,1.0,,1.0,a5001775538,https://nervelab.w3.uvm.edu,
Bertram Gawronski,1.0,1.0,,1.0,a5069999624,https://www.bertramgawronski.com/people.htm,
Richard M. Single,1.0,1.0,Mathematics and Statistics,0.0,a5024849718,,
Jamie L. Abaied,1.0,0.0,Psychological Science,1.0,a5030384293,,
Joseph Acquisto,1.0,1.0,French and Italian,0.0,a5049409973,,
E. Carol Adair,1.0,0.0,Rubenstein School of Environment and Natural Resources,0.0,a5034560073,https://adairlab.weebly.com/team.html,
Thomas P. Ahern,1.0,1.0,Surgery,0.0,a5079241058,,
Zobayer Ahmmad,1.0,1.0,Sociology,0.0,a5077733558,,
Anaka Aiyar,1.0,0.0,Community Development and Applied Economics,0.0,a5008985646,,
Sarah C. Alexander,1.0,0.0,English,0.0,a5032434213,,
Mads Almassalkhi,1.0,1.0,Electrical and Biomedical Engineering,1.0,a5053327116,https://madsalma.github.io/people.html,
Joe Ament,1.0,1.0,Community Development and Applied Economics,0.0,a5002226064,,
Eyal Amiel,1.0,1.0,Biomedical and Health Sciences,1.0,a5042866760,,
Ellen Ann Andersen,1.0,0.0,Political Science,0.0,a5074398027,,
Theodore J. Angelopoulos,1.0,1.0,Rehabilitation and Movement Science,0.0,a5033621367,,
Tracy Arámbula Ballysingh,1.0,0.0,Higher Education and Student Affairs Administration,0.0,a5052797184,,
Barbara Arel,1.0,0.0,Grossman School of Business,0.0,a5014963201,,
Rebecca Aslakson,1.0,0.0,Anesthesiology,0.0,a5090345791,,
